Longitude,Latitude,Field,Dataset,Product,Obj. Id,Swth Wdth(ft),Distance(ft),Duration(s),Track(deg),Elevation(ft),Area Count,Time,Y Offset(ft),Pass Num,Moisture(%),Eng Load(%),Yld Mass(Wet)(lb/ac),Yld Mass(Dry)(lb/ac),Crop Flw(M)(lb/s),Yld Vol(Dry)(bu/ac),Yld Vol(Wet)(bu/ac),Speed(mph),Prod(ac/h),Crop Flw(V)(bu/h),Date
-81.49904872,35.94418915,bif field,2021_06_18_001 (13078),WHEAT,784,29.99,5.315,1.000,356.63,1147.6,On,6/18/2021,0.00,4,6.621,4196.1,3864.3,3864.3,14.14,71.56,71.56,3.624,13.17,942.59,6/18/2021
-81.49904830,35.94418330,bif field,2021_06_18_001 (13078),WHEAT,785,29.99,5.741,1.000,175.00,1146.7,On,6/18/2021,0.00,4,6.621,4035.3,3477.0,3477.0,13.74,64.39,64.39,3.915,14.23,916.17,6/18/2021
-81.49904330,35.94414670,bif field,2021_06_18_001 (13078),WHEAT,786,29.99,6.168,1.000,353.98,1146.7,On,6/18/2021,0.00,4,6.591,4035.3,3158.8,3158.8,13.41,58.50,58.50,4.205,15.29,894.16,6/18/2021
-81.49904330,35.94414670,bif field,2021_06_18_001 (13078),WHEAT,787,29.99,6.168,1.000,353.98,1148.3,On,6/18/2021,0.00,4,6.591,4035.3,2808.2,2808.2,11.92,52.00,52.00,4.205,15.29,794.92,6/18/2021
-81.49903830,35.94410830,bif field,2021_06_18_001 (13078),WHEAT,788,29.99,6.037,1.000,357.53,1148.3,On,6/18/2021,0.00,4,6.552,4098.3,2952.2,2952.2,12.27,54.67,54.67,4.116,14.96,817.89,6/18/2021
-81.49903750,35.94409330,bif field,2021_06_18_001 (13078),WHEAT,789,29.99,5.807,1.000,357.53,1144.0,On,6/18/2021,0.00,4,6.552,4098.3,2703.8,2703.8,10.81,50.07,50.07,3.959,14.39,720.58,6/18/2021
-81.49903670,35.94407830,bif field,2021_06_18_001 (13078),WHEAT,790,29.99,5.413,1.000,353.69,1144.0,On,6/18/2021,0.00,4,6.531,4098.3,3106.0,3106.0,11.57,57.52,57.52,3.691,13.42,771.65,6/18/2021
-81.49903420,35.94406000,bif field,2021_06_18_001 (13078),WHEAT,791,29.99,5.282,1.000,353.69,1142.4,On,6/18/2021,0.00,4,6.531,4554.4,2784.9,2784.9,10.13,51.57,51.57,3.601,13.09,675.09,6/18/2021
-81.49903170,35.94404170,bif field,2021_06_18_001 (13078),WHEAT,792,29.99,5.151,1.000,2.318,1142.4,On,6/18/2021,0.00,4,6.505,4554.4,3067.8,3067.8,10.88,56.81,56.81,3.512,12.77,725.20,6/18/2021
-81.49903245,35.94402670,bif field,2021_06_18_001 (13078),WHEAT,793,29.99,5.151,1.000,2.318,1144.3,On,6/18/2021,0.00,4,6.505,4554.4,3070.5,3070.5,10.89,56.86,56.86,3.512,12.77,725.84,6/18/2021
-81.49903320,35.94401170,bif field,2021_06_18_001 (13078),WHEAT,794,29.99,5.085,1.000,355.77,1144.3,On,6/18/2021,0.00,4,6.531,4575.5,3155.6,3155.6,11.05,58.44,58.44,3.467,12.60,736.45,6/18/2021
-81.49903320,35.94401170,bif field,2021_06_18_001 (13078),WHEAT,795,29.99,5.085,1.000,355.77,1145.3,On,6/18/2021,0.00,4,6.531,4575.5,3027.3,3027.3,10.60,56.06,56.06,3.467,12.60,706.52,6/18/2021
-81.49903000,35.94397670,bif field,2021_06_18_001 (13078),WHEAT,796,29.99,5.085,1.000,338.88,1145.3,On,6/18/2021,0.00,4,6.551,4575.5,3145.3,3145.3,11.01,58.25,58.25,3.467,12.60,734.05,6/18/2021
-81.49902165,35.94395920,bif field,2021_06_18_001 (13078),WHEAT,797,29.99,5.085,1.000,338.88,1147.0,On,6/18/2021,0.00,4,6.551,4525.1,3233.9,3233.9,11.32,59.89,59.89,3.467,12.60,754.73,6/18/2021
-81.49901330,35.94394170,bif field,2021_06_18_001 (13078),WHEAT,798,29.99,5.118,1.000,352.32,1147.0,On,6/18/2021,0.00,4,6.577,4525.1,2799.1,2799.1,9.862,51.84,51.84,3.490,12.68,657.48,6/18/2021
-81.49901080,35.94392670,bif field,2021_06_18_001 (13078),WHEAT,799,29.99,5.184,1.000,352.32,1147.3,On,6/18/2021,0.00,4,6.577,4525.1,2917.6,2917.6,10.41,54.03,54.03,3.534,12.85,694.08,6/18/2021
-81.49900830,35.94391170,bif field,2021_06_18_001 (13078),WHEAT,800,29.99,5.217,1.000,344.90,1147.3,On,6/18/2021,0.00,4,6.610,3771.5,2797.5,2797.5,10.05,51.81,51.81,3.557,12.93,669.74,6/18/2021
-81.49900330,35.94389670,bif field,2021_06_18_001 (13078),WHEAT,801,29.99,5.217,1.000,344.90,1147.3,On,6/18/2021,0.00,4,6.610,3771.5,2955.5,2955.5,10.61,54.73,54.73,3.557,12.93,707.55,6/18/2021
-81.49899830,35.94388170,bif field,2021_06_18_001 (13078),WHEAT,802,29.99,5.217,1.000,340.62,1147.3,On,6/18/2021,0.00,4,6.620,3771.5,3137.7,3137.7,11.27,58.10,58.10,3.557,12.93,751.17,6/18/2021
-81.49899830,35.94388170,bif field,2021_06_18_001 (13078),WHEAT,803,29.99,5.151,1.000,340.62,1148.3,On,6/18/2021,0.00,4,6.620,4650.6,3301.1,3301.1,11.71,61.13,61.13,3.512,12.77,780.35,6/18/2021
-81.49898670,35.94385500,bif field,2021_06_18_001 (13078),WHEAT,804,29.99,5.085,1.000,323.32,1148.3,On,6/18/2021,0.00,4,6.621,4650.6,3239.8,3239.8,11.34,60.00,60.00,3.467,12.60,756.10,6/18/2021
-81.49897750,35.94384500,bif field,2021_06_18_001 (13078),WHEAT,805,29.99,5.184,1.000,323.32,1149.0,On,6/18/2021,0.00,4,6.621,4650.6,3558.0,3558.0,12.70,65.89,65.89,3.534,12.85,846.45,6/18/2021
-81.49896830,35.94383500,bif field,2021_06_18_001 (13078),WHEAT,806,29.99,5.118,1.000,339.84,1149.0,On,6/18/2021,0.00,4,6.621,4619.7,4085.5,4085.5,14.39,75.66,75.66,3.490,12.68,959.63,6/18/2021
-81.49896415,35.94382585,bif field,2021_06_18_001 (13078),WHEAT,807,29.99,5.184,1.000,339.84,1149.0,On,6/18/2021,0.00,4,6.621,4619.7,3256.3,3256.3,11.62,60.30,60.30,3.534,12.85,774.66,6/18/2021
-81.49896000,35.94381670,bif field,2021_06_18_001 (13078),WHEAT,808,29.99,5.249,1.000,325.78,1147.9,On,6/18/2021,0.00,4,6.621,4619.7,3371.2,3371.2,12.18,62.43,62.43,3.579,13.01,812.15,6/18/2021
-81.49895160,35.94380670,bif field,2021_06_18_001 (13078),WHEAT,809,29.99,5.381,1.000,325.78,1147.6,On,6/18/2021,0.00,4,6.621,4296.9,3300.8,3300.8,12.23,61.13,61.13,3.669,13.33,815.07,6/18/2021
-81.49894320,35.94379670,bif field,2021_06_18_001 (13078),WHEAT,810,29.99,5.446,1.000,325.57,1147.6,On,6/18/2021,0.00,4,6.621,4296.9,3353.0,3353.0,12.57,62.09,62.09,3.713,13.50,838.06,6/18/2021
-81.49894320,35.94379670,bif field,2021_06_18_001 (13078),WHEAT,811,29.99,5.479,1.000,325.57,1146.7,On,6/18/2021,0.00,4,6.621,4296.9,2832.1,2832.1,10.68,52.45,52.45,3.736,13.58,712.12,6/18/2021
-81.49892330,35.94377320,bif field,2021_06_18_001 (13078),WHEAT,812,29.99,5.479,1.000,327.30,1146.7,On,6/18/2021,0.00,4,6.621,4455.6,2639.6,2639.6,9.956,48.88,48.88,3.736,13.58,663.72,6/18/2021
-81.49891717,35.94376547,bif field,2021_06_18_001 (13078),WHEAT,813,29.99,5.512,1.000,327.30,1147.3,On,6/18/2021,0.00,4,6.621,4455.6,2819.5,2819.5,10.70,52.21,52.21,3.758,13.66,713.22,6/18/2021
-81.49891717,35.94376547,bif field,2021_06_18_001 (13078),WHEAT,814,29.99,5.643,1.000,327.30,1147.3,On,6/18/2021,0.00,4,6.621,4455.6,2657.8,2657.8,10.32,49.22,49.22,3.848,13.98,688.30,6/18/2021
-81.49890490,35.94375000,bif field,2021_06_18_001 (13078),WHEAT,815,29.99,5.610,1.000,327.69,1147.6,On,6/18/2021,0.00,4,6.621,6115.5,2774.1,2774.1,10.71,51.37,51.37,3.825,13.90,714.25,6/18/2021
-81.49889580,35.94373835,bif field,2021_06_18_001 (13078),WHEAT,816,29.99,5.676,1.000,327.69,1147.6,On,6/18/2021,0.00,4,6.610,6115.5,2652.7,2652.7,10.36,49.12,49.12,3.870,14.07,690.99,6/18/2021
-81.49888670,35.94372670,bif field,2021_06_18_001 (13078),WHEAT,817,29.99,5.577,1.000,141.00,1148.6,On,6/18/2021,0.00,4,6.610,6115.5,2705.4,2705.4,10.39,50.10,50.10,3.803,13.82,692.49,6/18/2021
-81.49888000,35.94369830,bif field,2021_06_18_001 (13078),WHEAT,818,29.99,5.545,1.000,326.43,1148.6,On,6/18/2021,0.00,4,6.574,4736.3,2157.3,2157.3,8.234,39.95,39.95,3.780,13.74,548.94,6/18/2021
-81.49888000,35.94369830,bif field,2021_06_18_001 (13078),WHEAT,819,29.99,5.315,1.000,326.43,1147.0,On,6/18/2021,0.00,4,6.574,4736.3,2337.5,2337.5,8.552,43.29,43.29,3.624,13.17,570.16,6/18/2021
-81.49886500,35.94368000,bif field,2021_06_18_001 (13078),WHEAT,820,29.99,5.118,1.000,321.09,1147.0,On,6/18/2021,0.00,4,6.534,4736.3,1875.8,1875.8,6.609,34.74,34.74,3.490,12.68,440.60,6/18/2021
-81.49883000,35.94364490,bif field,2021_06_18_001 (13078),WHEAT,821,29.99,4.987,1.000,321.09,1146.3,On,6/18/2021,0.00,4,6.534,4494.5,1714.9,1714.9,5.887,31.76,31.76,3.400,12.36,392.48,6/18/2021
-81.49883000,35.94364490,bif field,2021_06_18_001 (13078),WHEAT,822,29.99,5.118,1.000,309.96,1146.3,On,6/18/2021,0.00,4,6.505,4494.5,1887.6,1887.6,6.651,34.96,34.96,3.490,12.68,443.37,6/18/2021
-81.49880553,35.94362830,bif field,2021_06_18_001 (13078),WHEAT,823,29.99,5.315,1.000,309.96,1146.3,On,6/18/2021,0.00,4,6.505,4494.5,1999.7,1999.7,7.317,37.03,37.03,3.624,13.17,487.77,6/18/2021
-81.49879330,35.94362000,bif field,2021_06_18_001 (13078),WHEAT,824,29.99,5.184,1.000,309.96,1147.0,On,6/18/2021,0.00,4,6.501,5685.3,1972.6,1972.6,7.039,36.53,36.53,3.534,12.85,469.27,6/18/2021
-81.49879330,35.94362000,bif field,2021_06_18_001 (13078),WHEAT,825,29.99,5.052,1.000,124.00,1147.0,On,6/18/2021,0.00,4,6.501,5685.3,1504.3,1504.3,5.232,27.86,27.86,3.445,12.52,348.81,6/18/2021
-81.49876500,35.94359830,bif field,2021_06_18_001 (13078),WHEAT,826,29.99,6.168,1.000,310.49,1146.7,On,6/18/2021,0.00,4,6.531,5685.3,1007.8,1007.8,4.279,18.66,18.66,4.205,15.29,285.27,6/18/2021
-81.49875415,35.94359080,bif field,2021_06_18_001 (13078),WHEAT,827,29.99,6.201,1.000,310.49,1147.3,On,6/18/2021,0.00,4,6.531,4198.7,944.76,944.76,4.033,17.50,17.50,4.228,15.37,268.86,6/18/2021
-81.49874330,35.94358330,bif field,2021_06_18_001 (13078),WHEAT,828,29.99,6.266,1.000,313.51,1147.3,On,6/18/2021,0.00,4,6.570,4198.7,1311.2,1311.2,5.656,24.28,24.28,4.273,15.53,377.07,6/18/2021
-81.49872170,35.94356670,bif field,2021_06_18_001 (13078),WHEAT,829,29.99,4.921,1.000,313.51,1146.7,On,6/18/2021,0.00,4,6.570,4198.7,3157.9,3157.9,10.70,58.48,58.48,3.355,12.20,713.21,6/18/2021
-81.49872170,35.94356670,bif field,2021_06_18_001 (13078),WHEAT,830,29.99,4.856,1.000,318.65,1146.7,On,6/18/2021,0.00,4,6.621,4190.5,3080.0,3080.0,10.30,57.04,57.04,3.311,12.03,686.35,6/18/2021
-81.49870837,35.94355443,bif field,2021_06_18_001 (13078),WHEAT,831,29.99,4.790,1.000,318.65,1147.9,On,6/18/2021,0.00,4,6.621,4190.5,3260.2,3260.2,10.75,60.37,60.37,3.266,11.87,716.69,6/18/2021
-81.49870170,35.94354830,bif field,2021_06_18_001 (13078),WHEAT,832,29.99,4.593,1.000,318.65,1147.9,On,6/18/2021,0.00,4,6.610,4190.5,3267.1,3267.1,10.33,60.50,60.50,3.132,11.38,688.70,6/18/2021
-81.49870170,35.94354830,bif field,2021_06_18_001 (13078),WHEAT,833,29.99,4.659,1.000,132.00,1147.3,On,6/18/2021,0.00,4,6.610,4560.4,3220.6,3220.6,10.33,59.64,59.64,3.176,11.55,688.58,6/18/2021
-81.49867500,35.94359330,bif field,2021_06_18_001 (13078),WHEAT,834,29.99,4.199,1.000,150.65,1158.5,On,6/18/2021,0.00,5,6.551,4543.4,3734.9,3734.9,10.80,69.16,69.16,2.863,10.41,719.81,6/18/2021
-81.49867500,35.94359330,bif field,2021_06_18_001 (13078),WHEAT,835,29.99,4.331,1.000,111.24,1158.5,On,6/18/2021,0.00,5,6.620,4543.4,3952.6,3952.6,11.78,73.20,73.20,2.953,10.73,785.58,6/18/2021
-81.49869280,35.94359890,bif field,2021_06_18_001 (13078),WHEAT,836,29.99,4.462,1.000,111.24,1158.8,On,6/18/2021,0.00,5,6.620,4712.4,3674.5,3674.5,11.29,68.05,68.05,3.042,11.06,752.43,6/18/2021
-81.49870170,35.94360170,bif field,2021_06_18_001 (13078),WHEAT,837,29.99,4.560,1.000,138.25,1158.8,On,6/18/2021,0.00,5,6.621,4712.4,3717.6,3717.6,11.67,68.84,68.84,3.109,11.30,778.05,6/18/2021
-81.49870170,35.94360170,bif field,2021_06_18_001 (13078),WHEAT,838,29.99,4.593,1.000,138.25,1158.1,On,6/18/2021,0.00,5,6.621,4712.4,3833.0,3833.0,12.12,70.98,70.98,3.132,11.38,807.97,6/18/2021
-81.49872000,35.94361830,bif field,2021_06_18_001 (13078),WHEAT,839,29.99,4.724,1.000,132.27,1158.1,On,6/18/2021,0.00,5,6.621,4393.0,3305.0,3305.0,10.75,61.20,61.20,3.221,11.71,716.59,6/18/2021
-81.49872000,35.94361830,bif field,2021_06_18_001 (13078),WHEAT,840,29.99,4.888,1.000,132.27,1155.5,On,6/18/2021,0.00,5,6.621,4393.0,3399.1,3399.1,11.44,62.95,62.95,3.333,12.11,762.58,6/18/2021
-81.49874500,35.94363670,bif field,2021_06_18_001 (13078),WHEAT,841,29.99,4.987,1.000,132.23,1155.5,On,6/18/2021,0.00,5,6.610,4393.0,3129.7,3129.7,10.74,57.96,57.96,3.400,12.36,716.29,6/18/2021
-81.49876990,35.94365500,bif field,2021_06_18_001 (13078),WHEAT,842,29.99,4.987,1.000,132.23,1153.9,On,6/18/2021,0.00,5,6.610,5495.7,3461.5,3461.5,11.88,64.10,64.10,3.400,12.36,792.22,6/18/2021
-81.49876990,35.94365500,bif field,2021_06_18_001 (13078),WHEAT,843,29.99,5.020,1.000,133.34,1153.9,On,6/18/2021,0.00,5,6.585,5495.7,3000.3,3000.3,10.37,55.56,55.56,3.423,12.44,691.18,6/18/2021
-81.49878410,35.94366585,bif field,2021_06_18_001 (13078),WHEAT,844,29.99,5.020,1.000,133.34,1152.5,On,6/18/2021,0.00,5,6.585,5495.7,3279.0,3279.0,11.33,60.72,60.72,3.423,12.44,755.39,6/18/2021
-81.49879120,35.94367128,bif field,2021_06_18_001 (13078),WHEAT,845,29.99,5.052,1.000,133.34,1152.5,On,6/18/2021,0.00,5,6.582,4886.9,3022.7,3022.7,10.51,55.98,55.98,3.445,12.52,700.90,6/18/2021
-81.49879830,35.94367670,bif field,2021_06_18_001 (13078),WHEAT,846,29.99,5.052,1.000,130.09,1150.3,On,6/18/2021,0.00,5,6.582,4886.9,3327.0,3327.0,11.57,61.61,61.61,3.445,12.52,771.45,6/18/2021
-81.49883000,35.94369830,bif field,2021_06_18_001 (13078),WHEAT,847,29.99,4.757,1.000,130.09,1150.3,On,6/18/2021,0.00,5,6.551,4886.9,3490.9,3490.9,11.43,64.65,64.65,3.244,11.79,762.16,6/18/2021
-81.49883000,35.94369830,bif field,2021_06_18_001 (13078),WHEAT,848,29.99,4.495,1.000,304.00,1149.0,On,6/18/2021,0.00,5,6.551,5179.6,3747.2,3747.2,11.59,69.39,69.39,3.065,11.14,772.97,6/18/2021
-81.49884000,35.94372670,bif field,2021_06_18_001 (13078),WHEAT,849,29.99,4.167,1.000,156.32,1149.0,On,6/18/2021,0.00,5,6.512,5179.6,3900.8,3900.8,11.19,72.24,72.24,2.841,10.33,745.93,6/18/2021
-81.49885170,35.94374830,bif field,2021_06_18_001 (13078),WHEAT,850,29.99,4.167,1.000,156.32,1147.0,On,6/18/2021,0.00,5,6.512,5179.6,3566.6,3566.6,10.23,66.05,66.05,2.841,10.33,682.02,6/18/2021
-81.49885170,35.94374830,bif field,2021_06_18_001 (13078),WHEAT,851,29.99,4.298,1.000,139.00,1147.0,On,6/18/2021,0.00,5,6.502,4804.8,3656.4,3656.4,10.82,67.71,67.71,2.930,10.65,721.20,6/18/2021
-81.49886723,35.94376277,bif field,2021_06_18_001 (13078),WHEAT,852,29.99,4.495,1.000,139.00,1149.0,On,6/18/2021,0.00,5,6.502,4804.8,3170.4,3170.4,9.810,58.71,58.71,3.065,11.14,653.98,6/18/2021
-81.49887500,35.94377000,bif field,2021_06_18_001 (13078),WHEAT,853,29.99,4.757,1.000,143.27,1149.0,On,6/18/2021,0.00,5,6.501,4804.8,3174.9,3174.9,10.40,58.80,58.80,3.244,11.79,693.17,6/18/2021
-81.49888500,35.94378085,bif field,2021_06_18_001 (13078),WHEAT,854,29.99,4.954,1.000,143.27,1149.0,On,6/18/2021,0.00,5,6.501,4565.8,2669.5,2669.5,9.104,49.44,49.44,3.378,12.28,606.94,6/18/2021
-81.49889500,35.94379170,bif field,2021_06_18_001 (13078),WHEAT,855,29.99,5.118,1.000,143.27,1146.7,On,6/18/2021,0.00,5,6.512,4565.8,2719.2,2719.2,9.581,50.36,50.36,3.490,12.68,638.71,6/18/2021
-81.49889500,35.94379170,bif field,2021_06_18_001 (13078),WHEAT,856,29.99,5.085,1.000,317.00,1146.0,On,6/18/2021,0.00,5,6.512,4565.8,2575.7,2575.7,9.017,47.70,47.70,3.467,12.60,601.12,6/18/2021
-81.49891670,35.94381330,bif field,2021_06_18_001 (13078),WHEAT,857,29.99,5.052,1.000,152.57,1146.0,On,6/18/2021,0.00,5,6.567,5172.1,2743.9,2743.9,9.544,50.81,50.81,3.445,12.52,636.25,6/18/2021
-81.49893170,35.94383670,bif field,2021_06_18_001 (13078),WHEAT,858,29.99,4.856,1.000,152.57,1146.3,On,6/18/2021,0.00,5,6.567,5172.1,2797.2,2797.2,9.350,51.80,51.80,3.311,12.03,623.33,6/18/2021
-81.49893170,35.94383670,bif field,2021_06_18_001 (13078),WHEAT,859,29.99,4.724,1.000,147.03,1146.3,On,6/18/2021,0.00,5,6.590,5172.1,2871.3,2871.3,9.338,53.17,53.17,3.221,11.71,622.55,6/18/2021
-81.49894057,35.94384777,bif field,2021_06_18_001 (13078),WHEAT,860,29.99,4.593,1.000,147.03,1146.0,On,6/18/2021,0.00,5,6.590,5064.0,3208.4,3208.4,10.14,59.42,59.42,3.132,11.38,676.33,6/18/2021
-81.49894500,35.94385330,bif field,2021_06_18_001 (13078),WHEAT,861,29.99,4.626,1.000,173.46,1146.0,On,6/18/2021,0.00,5,6.607,5064.0,2806.5,2806.5,8.937,51.97,51.97,3.154,11.46,595.82,6/18/2021
-81.49894665,35.94386495,bif field,2021_06_18_001 (13078),WHEAT,862,29.99,4.593,1.000,173.46,1147.9,On,6/18/2021,0.00,5,6.607,5064.0,3056.9,3056.9,9.666,56.61,56.61,3.132,11.38,644.37,6/18/2021
-81.49894830,35.94387660,bif field,2021_06_18_001 (13078),WHEAT,863,29.99,4.528,1.000,160.92,1147.9,On,6/18/2021,0.00,5,6.614,4700.1,2754.2,2754.2,8.584,51.00,51.00,3.087,11.22,572.28,6/18/2021
-81.49894830,35.94387660,bif field,2021_06_18_001 (13078),WHEAT,864,29.99,4.331,1.000,160.92,1148.3,On,6/18/2021,0.00,5,6.614,4700.1,2825.6,2825.6,8.424,52.33,52.33,2.953,10.73,561.60,6/18/2021
-81.49895830,35.94390000,bif field,2021_06_18_001 (13078),WHEAT,865,29.99,4.101,1.000,154.09,1148.3,On,6/18/2021,0.00,5,6.620,4700.1,2835.9,2835.9,8.006,52.52,52.52,2.796,10.16,533.76,6/18/2021
-81.49897330,35.94392500,bif field,2021_06_18_001 (13078),WHEAT,866,29.99,4.003,1.000,154.09,1149.2,On,6/18/2021,0.00,5,6.620,5139.2,3418.1,3418.1,9.418,63.30,63.30,2.729,9.919,627.88,6/18/2021
-81.49897330,35.94392500,bif field,2021_06_18_001 (13078),WHEAT,867,29.99,4.298,1.000,160.12,1149.2,On,6/18/2021,0.00,5,6.621,5139.2,3209.0,3209.0,9.494,59.43,59.43,2.930,10.65,632.96,6/18/2021
-81.49898223,35.94394500,bif field,2021_06_18_001 (13078),WHEAT,868,29.99,4.593,1.000,160.12,1149.2,On,6/18/2021,0.00,5,6.621,5139.2,3089.8,3089.8,9.770,57.22,57.22,3.132,11.38,651.31,6/18/2021
-81.49898670,35.94395500,bif field,2021_06_18_001 (13078),WHEAT,869,29.99,4.921,1.000,163.13,1149.2,On,6/18/2021,0.00,5,6.621,5747.9,3135.1,3135.1,10.62,58.06,58.06,3.355,12.20,708.07,6/18/2021
-81.49899170,35.94396835,bif field,2021_06_18_001 (13078),WHEAT,870,29.99,4.790,1.000,163.13,1149.0,On,6/18/2021,0.00,5,6.621,5747.9,3093.0,3093.0,10.20,57.28,57.28,3.266,11.87,679.95,6/18/2021
-81.49899670,35.94398170,bif field,2021_06_18_001 (13078),WHEAT,871,29.99,4.659,1.000,191.44,1149.0,On,6/18/2021,0.00,5,6.621,5747.9,3571.0,3571.0,11.45,66.13,66.13,3.176,11.55,763.51,6/18/2021
-81.49899503,35.94398837,bif field,2021_06_18_001 (13078),WHEAT,872,29.99,4.593,1.000,191.44,1147.9,On,6/18/2021,0.00,5,6.621,5446.1,3251.2,3251.2,10.28,60.21,60.21,3.132,11.38,685.33,6/18/2021
-81.49899337,35.94399503,bif field,2021_06_18_001 (13078),WHEAT,873,29.99,4.888,1.000,191.44,1147.9,On,6/18/2021,0.00,5,6.610,5446.1,3278.1,3278.1,11.03,60.70,60.70,3.333,12.11,735.42,6/18/2021
-81.49899170,35.94400170,bif field,2021_06_18_001 (13078),WHEAT,874,29.99,5.282,1.000,182.37,1149.6,On,6/18/2021,0.00,5,6.610,5446.1,2970.2,2970.2,10.80,55.00,55.00,3.601,13.09,720.02,6/18/2021
-81.49899170,35.94400170,bif field,2021_06_18_001 (13078),WHEAT,875,29.99,5.348,1.000,182.37,1149.6,On,6/18/2021,0.00,5,6.585,5368.9,3285.5,3285.5,12.10,60.84,60.84,3.646,13.25,806.36,6/18/2021
-81.49899000,35.94403500,bif field,2021_06_18_001 (13078),WHEAT,876,29.99,5.348,1.000,2.000,1151.9,On,6/18/2021,0.00,5,6.585,5368.9,3308.2,3308.2,12.18,61.26,61.26,3.646,13.25,811.93,6/18/2021
-81.49899330,35.94406500,bif field,2021_06_18_001 (13078),WHEAT,877,29.99,5.348,1.000,174.76,1151.9,On,6/18/2021,0.00,5,6.571,5368.9,3778.8,3778.8,13.91,69.98,69.98,3.646,13.25,927.41,6/18/2021
-81.49899500,35.94408000,bif field,2021_06_18_001 (13078),WHEAT,878,29.99,5.381,1.000,174.76,1154.2,On,6/18/2021,0.00,5,6.571,6201.3,4196.2,4196.2,15.54,77.71,77.71,3.669,13.33,1036.2,6/18/2021
-81.49899670,35.94409500,bif field,2021_06_18_001 (13078),WHEAT,879,29.99,5.381,1.000,174.91,1154.2,On,6/18/2021,0.00,5,6.534,6201.3,4315.7,4315.7,15.99,79.92,79.92,3.669,13.33,1065.7,6/18/2021
-81.49899835,35.94411000,bif field,2021_06_18_001 (13078),WHEAT,880,29.99,5.413,1.000,174.91,1156.5,On,6/18/2021,0.00,5,6.534,6201.3,4547.4,4547.4,16.95,84.21,84.21,3.691,13.42,1129.8,6/18/2021
-81.49900000,35.94412500,bif field,2021_06_18_001 (13078),WHEAT,881,29.99,5.348,1.000,171.59,1156.5,On,6/18/2021,0.00,5,6.505,6364.2,4554.8,4554.8,16.77,84.35,84.35,3.646,13.25,1117.9,6/18/2021
-81.49900670,35.94416170,bif field,2021_06_18_001 (13078),WHEAT,882,29.99,5.348,1.000,171.59,1156.1,On,6/18/2021,0.00,5,6.505,6364.2,4594.4,4594.4,16.91,85.08,85.08,3.646,13.25,1127.6,6/18/2021
-81.49900670,35.94416170,bif field,2021_06_18_001 (13078),WHEAT,883,29.99,5.446,1.000,172.32,1156.1,On,6/18/2021,0.00,5,6.501,6364.2,4233.7,4233.7,15.87,78.40,78.40,3.713,13.50,1058.2,6/18/2021
-81.49901003,35.94418170,bif field,2021_06_18_001 (13078),WHEAT,884,29.99,5.446,1.000,172.32,1156.1,On,6/18/2021,0.00,5,6.501,6000.1,3751.0,3751.0,14.06,69.46,69.46,3.713,13.50,937.54,6/18/2021
-81.49901170,35.94419170,bif field,2021_06_18_001 (13078),WHEAT,885,29.99,5.381,1.000,170.40,1155.5,On,6/18/2021,0.00,5,6.512,6000.1,2977.1,2977.1,11.03,55.13,55.13,3.669,13.33,735.15,6/18/2021
-81.49901170,35.94419170,bif field,2021_06_18_001 (13078),WHEAT,886,29.99,5.413,1.000,170.40,1155.8,On,6/18/2021,0.00,5,6.512,6000.1,2981.4,2981.4,11.11,55.21,55.21,3.691,13.42,740.68,6/18/2021
-81.49901830,35.94422330,bif field,2021_06_18_001 (13078),WHEAT,887,29.99,5.512,1.000,172.32,1155.8,On,6/18/2021,0.00,5,6.548,6015.2,3111.0,3111.0,11.80,57.61,57.61,3.758,13.66,786.95,6/18/2021
-81.49902080,35.94423830,bif field,2021_06_18_001 (13078),WHEAT,888,29.99,5.643,1.000,172.32,1158.5,On,6/18/2021,0.00,5,6.548,6015.2,3116.8,3116.8,12.11,57.72,57.72,3.848,13.98,807.19,6/18/2021
-81.49902330,35.94425330,bif field,2021_06_18_001 (13078),WHEAT,889,29.99,5.643,1.000,157.96,1158.5,On,6/18/2021,0.00,5,6.577,6015.2,3576.4,3576.4,13.89,66.23,66.23,3.848,13.98,926.20,6/18/2021
-81.49903830,35.94428330,bif field,2021_06_18_001 (13078),WHEAT,890,29.99,5.676,1.000,157.96,1160.4,On,6/18/2021,0.00,5,6.577,5297.2,2904.2,2904.2,11.35,53.78,53.78,3.870,14.07,756.49,6/18/2021
-81.49903830,35.94428330,bif field,2021_06_18_001 (13078),WHEAT,891,29.99,5.676,1.000,168.03,1160.4,On,6/18/2021,0.00,5,6.581,5297.2,3325.3,3325.3,12.99,61.58,61.58,3.870,14.07,866.19,6/18/2021
-81.49904383,35.94430443,bif field,2021_06_18_001 (13078),WHEAT,892,29.99,5.774,1.000,168.03,1159.1,On,6/18/2021,0.00,5,6.581,5297.2,3079.7,3079.7,12.24,57.03,57.03,3.937,14.31,816.13,6/18/2021
-81.49904660,35.94431500,bif field,2021_06_18_001 (13078),WHEAT,893,29.99,5.840,1.000,157.89,1159.1,On,6/18/2021,0.00,5,6.592,6004.2,2920.3,2920.3,11.74,54.08,54.08,3.982,14.47,782.68,6/18/2021
-81.49904660,35.94431500,bif field,2021_06_18_001 (13078),WHEAT,894,29.99,5.873,1.000,157.89,1158.8,On,6/18/2021,0.00,5,6.592,6004.2,2851.0,2851.0,11.53,52.80,52.80,4.004,14.55,768.41,6/18/2021
